Day,HomeTeam,AwayTeam,Weight
58,21,10,0.691755
58,8,13,0.45738599999999996
58,25,17,0.23322600000000002
58,14,19,0.6934665
58,2,20,0.7716270000000001
58,3,23,0.41761950000000003
58,22,24,0.3043065
59,16,1,0.21982099999999996
59,26,11,0.22198679999999998
59,28,12,0.16675399999999999
59,15,27,0.2201164
60,29,3,0.34998179999999995
60,2,4,0.6290683999999999
60,15,7,0.5157704
60,25,8,0.35310519999999995
60,19,13,0.48025149999999994
60,9,14,1.0433789
60,22,17,0.3800358999999999
60,30,20,0.6680626
60,1,24,0.5369280999999999
60,23,28,0.41820209999999997
61,17,2,1.0347636
61,5,3,0.7541534000000001
61,12,11,0.42791840000000003
61,14,13,1.5419508
61,6,16,0.5810584
61,10,20,1.5379
61,23,21,0.6764498
61,8,24,0.805727
61,18,26,0.500474
61,7,27,0.7326852
62,18,4,0.31486079999999994
62,1,5,0.47680609999999995
62,25,10,0.8195705
62,9,11,0.27760999999999997
62,19,12,0.2605302
62,6,15,0.40251149999999997
62,30,26,0.24183349999999998
62,22,27,0.31168219999999996
62,16,28,0.3293163
62,21,29,0.30802749999999995
63,19,4,0.051659
63,30,9,0.067282
63,23,25,0.155337
63,22,29,0.038838
65,5,2,3.0711375
65,7,10,3.8427825
65,24,14,4.4852175
65,3,17,2.0892
65,13,20,3.1748775
66,27,6,0.32558119999999996
66,11,8,0.31568179999999996
66,23,12,0.29568839999999996
66,18,16,0.3116134
66,21,26,0.26800759999999996
67,17,1,0.4503607
67,5,4,0.3708450999999999
67,20,9,0.6529723
67,10,15,0.8919284999999999
67,3,19,0.4151063
67,7,22,0.46583279999999994
67,14,25,1.0158111
67,13,28,0.49367659999999997
67,24,29,0.42656029999999995
67,2,30,0.6849376999999999
68,10,3,1.2464686
68,14,6,1.4259726000000001
68,11,7,0.6883526000000001
68,8,12,0.5444218
68,27,13,0.7206316
68,16,17,0.6121024
68,23,18,0.6791928
68,5,20,1.0455848
68,24,21,0.7746908
68,2,26,0.8556625999999999
69,27,1,0.38200699999999993
69,6,4,0.3169377
69,30,8,0.395761
69,19,11,0.2975464
69,12,15,0.2853863
69,9,16,0.2959525
